,SurveyID,Age,Type,Employed,FullPart,OwnCell,UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,Comfort,BQ9a,Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001,Gender,PAnxiety,PBIntent,PAffect,PGL_sum,Income,Education
161,W189,63.0,1,2.0,,0.0,0.0,2.0,2.0,1.0,0.5,2.0,1.0,0.25,,1.0,,,,,1.0,,,1.0,0.0,0.0,3.0,2.0,1.0,3.0,-2.0,3.0,-1.0,2,2,2,2,2,2,2,3,2,3,2,3.0,2.0,2,1,2,,4,1,2.0,2.5,2.0,5,1.0,4
162,W194,63.0,1,2.0,,5.0,5.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,4,4,4,7,7,7,7,7,7,7,7,7.0,7.0,10,10,10,,1,1,4.0,7.0,7.0,30,3.0,2
163,W218,63.0,1,2.0,,20.0,20.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,1.0,,,,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,8.0,3.0,6.0,2.0,1,1,1,7,7,5,7,7,5,7,3,7.0,4.0,10,10,10,,2,0,1.0,5.5,6.5,30,5.0,3
164,W228,63.0,1,2.0,,5.0,5.0,2.0,5.0,4.0,12.0,2.0,1.0,0.25,,,,,,,1.0,,,1.0,0.0,0.0,3.0,2.0,1.0,4.0,-1.0,4.0,0.0,3,3,3,3,2,2,2,3,1,3,1,3.0,1.0,4,3,3,,1,1,3.0,2.0,2.25,10,2.0,2
165,W289,63.0,1,2.0,,5.0,5.0,1.0,7.0,6.0,56.0,5.0,4.0,1.75,1.0,1.0,1.0,,,,1.0,1.0,,1.0,0.0,0.0,4.0,3.0,2.0,6.0,1.0,4.0,0.0,2,2,2,4,4,3,3,5,2,5,2,5.0,2.0,7,7,7,,4,1,2.0,3.5,3.5,21,2.0,4
166,S28,64.0,1,1.0,1.0,10.0,10.0,1.0,7.0,6.0,56.0,1.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,4.0,-1.0,2.0,-2.0,1,1,1,1,1,1,1,5,1,1,1,4.2,1.4,3,1,0,,2,1,1.0,2.0,1.0,4,2.0,3
167,W021,64.0,1,2.0,,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,3.0,-2.0,3.0,-1.0,3,3,3,1,1,1,1,2,1,2,1,2.0,1.0,2,2,2,,1,1,3.0,1.5,1.0,6,1.0,2
168,W030,64.0,1,2.0,,12.0,12.0,1.0,6.0,5.0,28.0,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,5.0,1.0,1,1,1,1,3,3,4,4,1,4,1,4.0,1.0,2,2,4,,4,1,1.0,2.5,2.75,8,1.0,4
169,W062,64.0,1,2.0,,8.0,8.0,1.0,5.0,4.0,12.0,2.0,1.0,0.25,,,1.0,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,3.0,-2.0,4.0,0.0,5,2,3,2,3,3,4,2,2,1,1,1.5,1.5,1,6,6,,1,1,3.3333333333333335,1.5,3.0,13,1.0,2
170,W097,64.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,5.0,4.0,3.0,8.0,3.0,3.0,-1.0,2,2,2,6,6,1,7,7,1,7,2,7.0,1.5,6,3,2,,3,1,2.0,4.25,5.0,11,1.0,4
